Product Category,Cable Type,Voltage Grade,Conductor Material,Core Count,Cross Section (sq.mm),Armouring,Insulation Type,Standard,Price (Rupees/m),Source
LT Power,2XWY,1.1 kV,Copper,1,240,Armoured,XLPE,IS 7098 (Part 1):1988,3953,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XWY,1.1 kV,Copper,1,300,Armoured,XLPE,IS 7098 (Part 1):1988,4766,Extended: interpolated from EY price curve — verify before quoting
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,1,1,Armoured,HFFR,IS 14855,156,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,1,1,Unarmoured,HFFR,IS 14855,124,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,1,1.5,Armoured,HFFR,IS 14855,191,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,1,1.5,Unarmoured,HFFR,IS 14855,153,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,1,2.5,Armoured,HFFR,IS 14855,262,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,1,2.5,Unarmoured,HFFR,IS 14855,210,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,1,4,Armoured,HFFR,IS 14855,369,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,1,4,Unarmoured,HFFR,IS 14855,296,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,1,6,Armoured,HFFR,IS 14855,512,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,1,6,Unarmoured,HFFR,IS 14855,410,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,1,10,Armoured,HFFR,IS 14855,797,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,1,10,Unarmoured,HFFR,IS 14855,638,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,1,16,Armoured,HFFR,IS 14855,1224,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,1,16,Unarmoured,HFFR,IS 14855,980,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,2,1,Armoured,HFFR,IS 14855,257,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,2,1,Unarmoured,HFFR,IS 14855,205,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,2,1.5,Armoured,HFFR,IS 14855,316,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,2,1.5,Unarmoured,HFFR,IS 14855,252,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,2,2.5,Armoured,HFFR,IS 14855,433,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,2,2.5,Unarmoured,HFFR,IS 14855,346,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,2,4,Armoured,HFFR,IS 14855,609,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,2,4,Unarmoured,HFFR,IS 14855,488,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,2,6,Armoured,HFFR,IS 14855,845,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,2,6,Unarmoured,HFFR,IS 14855,676,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,2,10,Armoured,HFFR,IS 14855,1315,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,2,10,Unarmoured,HFFR,IS 14855,1052,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,2,16,Armoured,HFFR,IS 14855,2020,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,2,16,Unarmoured,HFFR,IS 14855,1616,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,3,1,Armoured,HFFR,IS 14855,358,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,3,1,Unarmoured,HFFR,IS 14855,286,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,3,1.5,Armoured,HFFR,IS 14855,440,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,3,1.5,Unarmoured,HFFR,IS 14855,352,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,3,2.5,Armoured,HFFR,IS 14855,604,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,3,2.5,Unarmoured,HFFR,IS 14855,483,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,3,4,Armoured,HFFR,IS 14855,850,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,3,4,Unarmoured,HFFR,IS 14855,680,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,3,6,Armoured,HFFR,IS 14855,1177,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,3,6,Unarmoured,HFFR,IS 14855,942,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,3,10,Armoured,HFFR,IS 14855,1833,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,3,10,Unarmoured,HFFR,IS 14855,1466,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,3,16,Armoured,HFFR,IS 14855,2816,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,250 V,Copper,3,16,Unarmoured,HFFR,IS 14855,2253,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,1,1,Armoured,HFFR,IS 14855,179,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,1,1,Unarmoured,HFFR,IS 14855,143,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,1,1.5,Armoured,HFFR,IS 14855,220,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,1,1.5,Unarmoured,HFFR,IS 14855,176,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,1,2.5,Armoured,HFFR,IS 14855,302,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,1,2.5,Unarmoured,HFFR,IS 14855,241,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,1,4,Armoured,HFFR,IS 14855,425,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,1,4,Unarmoured,HFFR,IS 14855,340,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,1,6,Armoured,HFFR,IS 14855,589,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,1,6,Unarmoured,HFFR,IS 14855,471,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,1,10,Armoured,HFFR,IS 14855,916,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,1,10,Unarmoured,HFFR,IS 14855,733,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,1,16,Armoured,HFFR,IS 14855,1408,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,1,16,Unarmoured,HFFR,IS 14855,1126,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,2,1,Armoured,HFFR,IS 14855,295,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,2,1,Unarmoured,HFFR,IS 14855,236,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,2,1.5,Armoured,HFFR,IS 14855,363,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,2,1.5,Unarmoured,HFFR,IS 14855,290,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,2,2.5,Armoured,HFFR,IS 14855,498,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,2,2.5,Unarmoured,HFFR,IS 14855,398,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,2,4,Armoured,HFFR,IS 14855,701,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,2,4,Unarmoured,HFFR,IS 14855,561,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,2,6,Armoured,HFFR,IS 14855,971,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,2,6,Unarmoured,HFFR,IS 14855,777,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,2,10,Armoured,HFFR,IS 14855,1512,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,2,10,Unarmoured,HFFR,IS 14855,1210,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,2,16,Armoured,HFFR,IS 14855,2323,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,2,16,Unarmoured,HFFR,IS 14855,1859,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,3,1,Armoured,HFFR,IS 14855,412,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,3,1,Unarmoured,HFFR,IS 14855,329,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,3,1.5,Armoured,HFFR,IS 14855,506,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,3,1.5,Unarmoured,HFFR,IS 14855,405,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,3,2.5,Armoured,HFFR,IS 14855,694,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,3,2.5,Unarmoured,HFFR,IS 14855,555,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,3,4,Armoured,HFFR,IS 14855,977,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,3,4,Unarmoured,HFFR,IS 14855,782,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,3,6,Armoured,HFFR,IS 14855,1354,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,3,6,Unarmoured,HFFR,IS 14855,1083,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,3,10,Armoured,HFFR,IS 14855,2108,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,3,10,Unarmoured,HFFR,IS 14855,1686,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,3,16,Armoured,HFFR,IS 14855,3238,Extended: demo estimate — replace with real marine-cable rates
Marine & Defence,HFFR Ship Wiring Cable,1.1 kV,Copper,3,16,Unarmoured,HFFR,IS 14855,2591,Extended: demo estimate — replace with real marine-cable rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,2,1.5,Unarmoured,PVC,IS 694:2010,96,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,2,2.5,Unarmoured,PVC,IS 694:2010,134,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,2,4,Unarmoured,PVC,IS 694:2010,192,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,2,6,Unarmoured,PVC,IS 694:2010,269,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,2,10,Unarmoured,PVC,IS 694:2010,422,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,2,16,Unarmoured,PVC,IS 694:2010,652,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,3,1.5,Unarmoured,PVC,IS 694:2010,130,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,3,2.5,Unarmoured,PVC,IS 694:2010,182,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,3,4,Unarmoured,PVC,IS 694:2010,260,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,3,6,Unarmoured,PVC,IS 694:2010,364,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,3,10,Unarmoured,PVC,IS 694:2010,572,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,3,16,Unarmoured,PVC,IS 694:2010,884,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,4,1.5,Unarmoured,PVC,IS 694:2010,164,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,4,2.5,Unarmoured,PVC,IS 694:2010,230,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,4,4,Unarmoured,PVC,IS 694:2010,328,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,4,6,Unarmoured,PVC,IS 694:2010,459,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,4,10,Unarmoured,PVC,IS 694:2010,721,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Aluminium,4,16,Unarmoured,PVC,IS 694:2010,1115,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,2,1.5,Unarmoured,PVC,IS 694:2010,128,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,2,2.5,Unarmoured,PVC,IS 694:2010,179,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,2,4,Unarmoured,PVC,IS 694:2010,256,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,2,6,Unarmoured,PVC,IS 694:2010,358,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,2,10,Unarmoured,PVC,IS 694:2010,563,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,2,16,Unarmoured,PVC,IS 694:2010,870,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,3,1.5,Unarmoured,PVC,IS 694:2010,173,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,3,2.5,Unarmoured,PVC,IS 694:2010,243,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,3,4,Unarmoured,PVC,IS 694:2010,346,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,3,6,Unarmoured,PVC,IS 694:2010,485,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,3,10,Unarmoured,PVC,IS 694:2010,762,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,3,16,Unarmoured,PVC,IS 694:2010,1178,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,4,1.5,Unarmoured,PVC,IS 694:2010,219,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,4,2.5,Unarmoured,PVC,IS 694:2010,306,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,4,4,Unarmoured,PVC,IS 694:2010,437,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,4,6,Unarmoured,PVC,IS 694:2010,612,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,4,10,Unarmoured,PVC,IS 694:2010,962,Extended: demo estimate — replace with real rates
Flat & Building Wire,Flat Cable,450/750 V,Copper,4,16,Unarmoured,PVC,IS 694:2010,1487,Extended: demo estimate — replace with real rates
Flat & Building Wire,FR PVC Insulated Wire,450/750 V,Copper,1,0.75,Unarmoured,PVC,IS 694:2010,41,Extended: demo estimate — replace with real rates
Flat & Building Wire,FR PVC Insulated Wire,450/750 V,Copper,1,1,Unarmoured,PVC,IS 694:2010,48,Extended: demo estimate — replace with real rates
Flat & Building Wire,FR PVC Insulated Wire,450/750 V,Copper,1,1.5,Unarmoured,PVC,IS 694:2010,62,Extended: demo estimate — replace with real rates
Flat & Building Wire,FR PVC Insulated Wire,450/750 V,Copper,1,2.5,Unarmoured,PVC,IS 694:2010,90,Extended: demo estimate — replace with real rates
Flat & Building Wire,FR PVC Insulated Wire,450/750 V,Copper,1,4,Unarmoured,PVC,IS 694:2010,132,Extended: demo estimate — replace with real rates
Flat & Building Wire,FR PVC Insulated Wire,450/750 V,Copper,1,6,Unarmoured,PVC,IS 694:2010,188,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,1,35,Armoured,XLPE,IS 7098 (Part 2):2011,1120,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,1,50,Armoured,XLPE,IS 7098 (Part 2):2011,1202,Extended: demo estimate — replace with real rates
HT Power,A2XWaY,6.6 kV,Aluminium,1,70,Armoured,XLPE,IS 7098 (Part 2):2011,1310,Extended: demo estimate — replace with real rates
